Ortholog family / Human transcript	Gene	Description	Branch-specific % subs per site	Human subs	Chimp subs	Gorilla subs	#1# subs	Gibbon subs	Align overlap	Align Sat	Lower in
ENST00000285402	ODF1	outer dense fiber of sperm tails 1 	2.0	5.0	0.0	1.0	0.0	2.0	250.0	100.0	
ENST00000490531	NACAD	NAC alpha domain containing 	1.86457311089303	19.0	11.0	8.0	0.0	45.0	1019.0	95.05597014925372	
ENST00000379558	TOGARAM2	TOG array regulator of axonemal microtubules 2 	1.82926829268293	18.0	7.0	10.0	1.0	46.0	984.0	97.23320158102767	
ENST00000412916	CBFB	core-binding factor subunit beta 	1.7647058823529398	3.0	0.0	1.0	0.0	0.0	170.0	93.4065934065934	
ENST00000405271	EPCAM	epithelial cell adhesion molecule 	1.71232876712329	5.0	1.0	0.0	0.0	3.0	292.0	91.25	
ENST00000216214	FAM118A	family with sequence similarity 118 member A 	1.6806722689075602	6.0	2.0	0.0	0.0	6.0	357.0	100.0	
ENST00000407071	KIF26B	kinesin family member 26B 	1.58102766798419	24.0	8.0	6.0	2.0	35.0	1518.0	98.63547758284601	
ENST00000356454	SOWAHC	sosondowah ankyrin repeat domain family member C 	1.5748031496063	8.0	2.0	0.0	1.0	10.0	508.0	99.6078431372549	
ENST00000396050	EDA2R	ectodysplasin A2 receptor 	1.5723270440251598	5.0	1.0	1.0	0.0	2.0	318.0	100.0	
ENST00000373151	MAP7D1	MAP7 domain containing 1 	1.5625	10.0	1.0	1.0	0.0	16.0	640.0	87.19346049046321	
ENST00000642955	COL25A1	collagen type XXV alpha 1 chain 	1.53139356814701	10.0	4.0	3.0	1.0	8.0	653.0	99.84709480122324	Gibbon
ENST00000404951	VSTM2A	V-set and transmembrane domain containing 2A 	1.52671755725191	4.0	0.0	2.0	0.0	2.0	262.0	92.90780141843972	
ENST00000316997	RBM44	RNA binding motif protein 44 	1.52380952380952	16.0	6.0	7.0	0.0	25.0	1050.0	99.80988593155894	
ENST00000004531	SLC7A2	solute carrier family 7 member 2 	1.4903129657228005	10.0	5.0	2.0	0.0	13.0	671.0	96.4080459770115	
ENST00000650546	PGM1	phosphoglucomutase 1 	1.47679324894515	7.0	0.0	0.0	0.0	0.0	474.0	81.72413793103448	Gibbon
ENST00000372874	ADA	adenosine deaminase 	1.42045454545455	5.0	1.0	0.0	0.0	2.0	352.0	96.96969696969697	
ENST00000615129	IQCA1L	IQ motif containing with AAA domain 1 like 	1.3986013986014	10.0	8.0	4.0	0.0	14.0	715.0	99.58217270194986	
ENST00000402905	CARF	calcium responsive transcription factor 	1.35135135135135	8.0	0.0	5.0	1.0	9.0	592.0	100.0	
ENST00000259467	PDCL	phosducin like 	1.32890365448505	4.0	0.0	0.0	0.0	0.0	301.0	100.0	
ENST00000452796	DCAKD	dephospho-CoA kinase domain containing 	1.2987012987013	3.0	0.0	0.0	0.0	0.0	231.0	100.0	
ENST00000296233	KLF15	Kruppel like factor 15 	1.2406947890818898	5.0	0.0	0.0	0.0	3.0	403.0	98.29268292682927	
ENST00000293350	ALDH16A1	aldehyde dehydrogenase 16 family member A1 	1.23647604327666	8.0	2.0	4.0	4.0	8.0	647.0	97.29323308270676	Gibbon
ENST00000645567	FAM208B	transcription activation suppressor family member 2 	1.21746431570109	29.0	19.0	14.0	0.0	90.0	2382.0	98.9613626921479	#1#
ENST00000344941	SLC15A5	solute carrier family 15 member 5 	1.2173913043478302	7.0	3.0	3.0	0.0	8.0	575.0	99.48096885813149	
ENST00000229266	CHPT1	choline phosphotransferase 1 	1.20481927710843	4.0	0.0	0.0	0.0	4.0	332.0	99.40119760479043	
ENST00000471181	BRCA1	BRCA1 DNA repair associated 	1.18577075098814	21.0	6.0	12.0	0.0	47.0	1771.0	97.09429824561404	
ENST00000263073	SMG6	SMG6 nonsense mediated mRNA decay factor 	1.15690527838033	16.0	3.0	3.0	2.0	13.0	1383.0	98.92703862660944	Gibbon
ENST00000513200	KIAA0825	KIAA0825 	1.1363636363636398	14.0	8.0	2.0	0.0	29.0	1232.0	97.70023790642347	
ENST00000651098	BIN2	bridging integrator 2 	1.12781954887218	6.0	2.0	3.0	1.0	2.0	532.0	98.1549815498155	Gibbon
ENST00000440869	PHACTR2	phosphatase and actin regulator 2 	1.11111111111111	7.0	4.0	1.0	0.0	6.0	630.0	99.05660377358491	
ENST00000355710	RET	ret proto-oncogene 	1.09389243391067	12.0	7.0	3.0	0.0	9.0	1097.0	98.47396768402155	Gibbon
ENST00000644526	VPS45	vacuolar protein sorting 45 homolog 	1.09090909090909	6.0	0.0	2.0	0.0	0.0	550.0	95.15570934256056	Gibbon
ENST00000619221	GRIP2	glutamate receptor interacting protein 2 	1.06007067137809	12.0	6.0	7.0	0.0	10.0	1132.0	99.29824561403508	Gibbon
ENST00000263239	DDX18	DEAD-box helicase 18 	1.04477611940299	7.0	3.0	1.0	1.0	5.0	670.0	100.0	
ENST00000220616	TG	thyroglobulin 	1.03973264017824	28.0	9.0	25.0	1.0	67.0	2693.0	98.10564663023679	
ENST00000651968	COL10A1	collagen type X alpha 1 chain 	1.02941176470588	7.0	3.0	0.0	1.0	5.0	680.0	100.0	
ENST00000644203	SLC9A3	solute carrier family 9 member A3 	1.01180438448567	6.0	1.0	3.0	1.0	1.0	593.0	78.54304635761589	Gibbon
ENST00000369037	PDSS2	decaprenyl diphosphate synthase subunit 2 	1.00250626566416	4.0	0.0	2.0	0.0	2.0	399.0	100.0	
ENST00000643092	WIZ	WIZ zinc finger 	0.9971509971509972	7.0	1.0	0.0	1.0	6.0	702.0	80.04561003420753	
ENST00000407587	MYO18B	myosin XVIIIB 	0.99233198015336	22.0	13.0	10.0	4.0	41.0	2217.0	96.93922168780061	
ENST00000356443	MYOM1	myomesin 1 	0.975243810952738	13.0	3.0	2.0	1.0	8.0	1333.0	97.15743440233236	Gibbon
ENST00000373600	NEK6	NIMA related kinase 6 	0.9584664536741208	3.0	0.0	0.0	0.0	0.0	313.0	90.20172910662824	
ENST00000357232	DCHS2	dachsous cadherin-related 2 	0.930405656866394	25.0	10.0	16.0	4.0	64.0	2687.0	92.21002059025395	
ENST00000648477	ACP5	acid phosphatase 5%2C tartrate resistant 	0.923076923076923	3.0	0.0	0.0	0.0	1.0	325.0	100.0	
ENST00000336184	TRAF5	TNF receptor associated factor 5 	0.897666068222621	5.0	0.0	3.0	0.0	3.0	557.0	100.0	
ENST00000252011	DHX35	DEAH-box helicase 35 	0.8888888888888891	6.0	3.0	0.0	0.0	4.0	675.0	97.40259740259741	
ENST00000620138	NAP1L4	nucleosome assembly protein 1 like 4 	0.8426966292134829	3.0	0.0	0.0	0.0	1.0	356.0	92.2279792746114	
ENST00000440973	ESR1	estrogen receptor 1 	0.841750841750842	5.0	0.0	0.0	0.0	5.0	594.0	99.83193277310924	
ENST00000243776	CHPF	chondroitin polymerizing factor 	0.7863695937090429	6.0	1.0	1.0	0.0	3.0	763.0	99.21976592977893	
ENST00000327619	EYA2	EYA transcriptional coactivator and phosphatase 2 	0.78125	4.0	1.0	0.0	0.0	2.0	512.0	100.0	
ENST00000304337	TIGD4	tigger transposable element derived 4 	0.78125	4.0	0.0	0.0	0.0	4.0	512.0	100.0	
ENST00000513874	IGSF22	immunoglobulin superfamily member 22 	0.7806401249024201	10.0	1.0	4.0	0.0	7.0	1281.0	98.69029275808937	
ENST00000368357	NCOA7	nuclear receptor coactivator 7 	0.743889479277364	7.0	1.0	4.0	1.0	7.0	941.0	99.89384288747345	
ENST00000380702	PDE4A	phosphodiesterase 4A 	0.692041522491349	6.0	0.0	1.0	1.0	4.0	867.0	99.76985040276179	
ENST00000614102	FAT1	FAT atypical cadherin 1 	0.681663258350375	30.0	21.0	16.0	2.0	74.0	4401.0	97.56151629350477	
ENST00000504734	CANX	calnexin 	0.675675675675676	4.0	0.0	1.0	0.0	3.0	592.0	100.0	
ENST00000324324	MYEF2	myelin expression factor 2 	0.666666666666667	4.0	1.0	1.0	0.0	1.0	600.0	100.0	
ENST00000284476	DISP1	dispatched RND transporter family member 1 	0.660501981505945	10.0	2.0	3.0	2.0	18.0	1514.0	99.34383202099738	
ENST00000617998	POLR2A	RNA polymerase II subunit A 	0.6302521008403361	12.0	0.0	1.0	0.0	0.0	1904.0	97.14285714285714	Gibbon
ENST00000369075	SEC23IP	SEC23 interacting protein 	0.6048387096774189	6.0	4.0	2.0	0.0	4.0	992.0	99.2	Gibbon
ENST00000303545	RNF139	ring finger protein 139 	0.602409638554217	4.0	0.0	0.0	1.0	2.0	664.0	100.0	
ENST00000283629	UBP1	upstream binding protein 1 	0.555555555555556	3.0	0.0	1.0	0.0	0.0	540.0	100.0	
ENST00000369208	SIM1	SIM bHLH transcription factor 1 	0.522875816993464	4.0	3.0	0.0	0.0	1.0	765.0	99.86945169712794	
ENST00000358825	PRDM10	PR/SET domain 10 	0.518134715025907	6.0	1.0	0.0	0.0	6.0	1158.0	100.0	
ENST00000625323	NR3C2	nuclear receptor subfamily 3 group C member 2 	0.506072874493927	5.0	0.0	2.0	0.0	4.0	988.0	100.0	
ENST00000446176	FNBP1	formin binding protein 1 	0.496688741721854	3.0	0.0	0.0	0.0	1.0	604.0	99.17898193760263	
ENST00000399634	CACNA1C	calcium voltage-gated channel subunit alpha1 C 	0.487804878048781	9.0	2.0	2.0	0.0	7.0	1845.0	92.9471032745592	
ENST00000649217	MALT1	MALT1 paracaspase 	0.485436893203883	4.0	0.0	0.0	1.0	2.0	824.0	100.0	
ENST00000404816	LTBP1	latent transforming growth factor beta binding protein 1 	0.4736530491415039	8.0	5.0	1.0	2.0	9.0	1689.0	99.46996466431095	
ENST00000274487	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19 	0.472143531633617	5.0	0.0	2.0	1.0	2.0	1059.0	99.53007518796993	
ENST00000374720	SLC44A1	solute carrier family 44 member 1 	0.4665629860031099	3.0	0.0	0.0	0.0	1.0	643.0	97.86910197869102	
ENST00000367255	SYNE1	spectrin repeat containing nuclear envelope protein 1 	0.3892386949055519	34.0	14.0	24.0	7.0	88.0	8735.0	99.44216757741349	
ENST00000256190	SBF2	SET binding factor 2 	0.382513661202186	7.0	2.0	3.0	0.0	7.0	1830.0	100.0	
ENST00000287008	PCDH1	protocadherin 1 	0.3369839932603199	4.0	0.0	1.0	0.0	3.0	1187.0	97.3748974569319	
ENST00000649015	ITPR1	inositol 1%2C4%2C5-trisphosphate receptor type 1 	0.301659125188537	8.0	0.0	1.0	0.0	2.0	2652.0	98.22222222222223	
ENST00000446997	SLC4A10	solute carrier family 4 member 10 	0.273473108477666	3.0	0.0	1.0	0.0	0.0	1097.0	98.1216457960644	
ENST00000296782	RICTOR	RPTOR independent companion of MTOR complex 2 	0.2340550029256869	4.0	0.0	0.0	0.0	3.0	1709.0	100.0	
